subject,text,item,present,response,correct
x1138x,Marriage,emotional,1,1,1
x1138x,Marriage,comfort,0,0,1
x1138x,Marriage,proper,1,1,1
x1138x,Marriage,personal,0,0,1
x1138x,Marriage,courting,0,0,1
x1138x,Marriage,binding,1,1,1
x1138x,Marriage,office,1,1,1
x1138x,Money,lead,0,1,0
x1138x,Money,note,0,0,1
x1138x,Money,banker,1,0,0
x1138x,Money,foreign,0,0,1
x1138x,Money,settled,0,1,0
x1138x,Money,savings,0,1,0
x1138x,Money,funds,1,1,1
x1138x,Money,obtaining,0,1,0
x1138x,Money,amounts,1,1,1
x1138x,Money,raise,0,0,1
x1138x,Money,london,1,1,1
x1138x,Money,sterling,0,0,1
x1138x,Money,selling,1,1,1
x1138x,Money,market,1,1,1
x1138x,Money,restore,1,0,0
x1138x,Money,association,1,1,1
x1138x,Money,uncertainty,1,1,1
x1138x,Money,target,1,0,0
x1138x,Money,component,0,0,1
x1138x,Money,banks,1,1,1
x1138x,Money,broadly,0,0,1
x1138x,Money,services,0,1,0
x1138x,Money,debt,0,0,1
x1138x,Money,operational,1,1,1
x3195x,Hepatitis,cleanliness,0,0,1
x3195x,Hepatitis,handled,0,1,0
x3195x,Hepatitis,wear,0,0,1
x3195x,Hepatitis,statement,0,0,1
x3195x,Hepatitis,exposure,0,1,0
x3195x,Hepatitis,incidents,0,1,0
x3195x,Hepatitis,safer,0,0,1
x3195x,Hepatitis,worldwide,1,1,1
x3195x,Hepatitis,causes,1,1,1
x3195x,Hepatitis,exposed,0,1,0
x3195x,Hepatitis,cell,1,1,1
x3195x,Hepatitis,carriers,1,1,1
x3195x,Hepatitis,wastes,0,0,1
x3195x,Hepatitis,death,1,1,1
x3195x,Hepatitis,aids,1,1,1
x3195x,Hepatitis,chronic,1,1,1
x3195x,Hepatitis,affecting,1,1,1
x3195x,Hepatitis,prevent,1,0,0
x3195x,Hepatitis,hazards,0,0,1
x3195x,Hepatitis,prevalence,1,1,1
x3195x,Hepatitis,care,0,1,0
x3195x,Hepatitis,die,1,0,0
x3195x,Hepatitis,injuries,0,0,1
x3195x,Hepatitis,hiv,1,1,1
x6813x,Rugby,penalties,1,1,1
x6813x,Rugby,score,1,1,1
x6813x,Rugby,scoring,0,0,1
x6813x,Rugby,wide,0,0,1
x6813x,Rugby,abundance,1,0,0
x6813x,Rugby,landing,1,0,0
x6813x,Rugby,offside,0,1,0
x6813x,Rugby,disarray,1,1,1
x6813x,Rugby,club,0,1,0
x6813x,Rugby,yards,0,0,1
x6813x,Rugby,detached,0,0,1
x6813x,Rugby,ensuing,0,0,1
x6813x,Rugby,handled,1,0,0
x6813x,Rugby,penalty,1,1,1
x6813x,Rugby,kicked,1,1,1
x6813x,Rugby,cover,0,0,1
x6813x,Rugby,parity,0,0,1
x6813x,Rugby,metres,1,0,0
x6813x,Rugby,drove,0,0,1
x6813x,Rugby,win,1,1,1
x6813x,Rugby,punt,0,0,1
x6813x,Rugby,changed,1,0,0
x6813x,Rugby,indebted,1,1,1
x6813x,Rugby,defeat,0,0,1
x6813x,Money,selling,1,1,1
x6813x,Money,raise,0,0,1
x6813x,Money,target,1,1,1
x6813x,Money,london,1,1,1
x6813x,Money,broadly,0,0,1
x6813x,Money,banker,1,1,1
x6813x,Money,foreign,0,0,1
x6813x,Money,association,1,1,1
x6813x,Money,component,0,0,1
x6813x,Money,operational,1,0,0
x6813x,Money,funds,1,1,1
x6813x,Money,debt,0,1,0
x6813x,Money,restore,1,1,1
x6813x,Money,settled,0,1,0
x6813x,Money,savings,0,1,0
x6813x,Money,services,0,1,0
x6813x,Money,amounts,1,1,1
x6813x,Money,uncertainty,1,1,1
x6813x,Money,banks,1,1,1
x6813x,Money,obtaining,0,1,0
x6813x,Money,lead,0,0,1
x6813x,Money,market,1,1,1
x6813x,Money,note,0,0,1
x6813x,Money,sterling,0,1,0
x6813x,Marriage,differences,0,1,0
x6813x,Marriage,emotional,1,1,1
x6813x,Marriage,comfort,0,0,1
x6813x,Marriage,courting,0,0,1
x6813x,Marriage,fortune,1,0,0
x6813x,Marriage,formed,1,0,0
x6813x,Marriage,provision,0,0,1
x6813x,Marriage,hearts,0,0,1
x6813x,Marriage,proper,1,0,0
x6813x,Marriage,married,1,1,1
x6813x,Marriage,court,0,1,0
x6813x,Marriage,personal,0,1,0
x6813x,Marriage,couple,1,1,1
x6813x,Marriage,registry,1,1,1
x6813x,Marriage,formally,1,1,1
x6813x,Marriage,partnership,0,1,0
x6813x,Marriage,individual,0,1,0
x6813x,Marriage,conquest,0,0,1
x6813x,Marriage,unconscious,1,1,1
x6813x,Marriage,witnessed,0,1,0
x6813x,Marriage,binding,1,1,1
x6813x,Marriage,covenant,1,1,1
x6813x,Marriage,office,1,1,1
x6813x,Marriage,superseded,0,0,1
x6813x,Hepatitis,prevent,1,1,1
x6813x,Hepatitis,care,0,1,0
x6813x,Hepatitis,hazards,0,0,1
x6813x,Hepatitis,worldwide,1,1,1
x6813x,Hepatitis,handled,0,0,1
x6813x,Hepatitis,exposure,0,1,0
x6813x,Hepatitis,chronic,1,1,1
x6813x,Hepatitis,exposed,0,1,0
x6813x,Hepatitis,safer,0,1,0
x6813x,Hepatitis,prevalence,1,1,1
x6813x,Hepatitis,wear,0,1,0
x6813x,Hepatitis,carriers,1,1,1
x6813x,Hepatitis,incidents,0,1,0
x6813x,Hepatitis,cell,1,0,0
x6813x,Hepatitis,affecting,1,1,1
x6813x,Hepatitis,aids,1,1,1
x6813x,Hepatitis,die,1,1,1
x6813x,Hepatitis,injuries,0,0,1
x6813x,Hepatitis,statement,0,0,1
x6813x,Hepatitis,wastes,0,0,1
x6813x,Hepatitis,death,1,1,1
x6813x,Hepatitis,cleanliness,0,0,1
x6813x,Hepatitis,causes,1,1,1
x6813x,Hepatitis,hiv,1,1,1
x6813x,Crime,court,1,1,1
x6813x,Crime,doctor,0,0,1
x6813x,Crime,driver,1,1,1
x6813x,Crime,wrong,0,1,0
x6813x,Crime,replied,0,0,1
x6813x,Crime,attack,1,1,1
x6813x,Crime,died,1,1,1
x6813x,Crime,evidence,0,1,0
x6813x,Crime,trial,1,1,1
x6813x,Crime,morning,0,0,1
x6813x,Crime,appear,1,1,1
x6813x,Crime,british,0,0,1
x6813x,Crime,events,1,0,0
x6813x,Crime,witnessed,0,1,0
x6813x,Crime,ordered,1,1,1
x6813x,Crime,teenage,1,1,1
x6813x,Crime,policeman,0,0,1
x6813x,Crime,road,1,1,1
x6813x,Crime,defence,0,0,1
x6813x,Crime,continue,0,1,0
x6813x,Crime,belfast,1,1,1
x6813x,Crime,itinerant,1,0,0
x6813x,Crime,blow,0,0,1
x6813x,Crime,believed,0,0,1
x8168x,Crime,road,1,1,1
x8168x,Crime,itinerant,1,1,1
x8168x,Crime,witnessed,0,1,0
x8168x,Crime,died,1,0,0
x8168x,Crime,continue,0,0,1
x8168x,Crime,replied,0,0,1
x8168x,Crime,events,1,1,1
x8168x,Crime,wrong,0,0,1
x8168x,Crime,ordered,1,0,0
x8168x,Crime,attack,1,1,1
x8168x,Crime,blow,0,0,1
x8168x,Crime,appear,1,1,1
x8168x,Crime,policeman,0,0,1
x8168x,Crime,evidence,0,1,0
x8168x,Crime,believed,0,1,0
x8168x,Crime,doctor,0,0,1
x8168x,Crime,teenage,1,1,1
x8168x,Crime,trial,1,1,1
x8168x,Crime,driver,1,1,1
x8168x,Crime,defence,0,0,1
x8168x,Crime,belfast,1,1,1
x8168x,Crime,morning,0,0,1
x8168x,Crime,court,1,1,1
x8168x,Crime,british,0,1,0
x8168x,Marriage,hearts,0,0,1
x8168x,Marriage,court,0,1,0
x8168x,Marriage,proper,1,1,1
x8168x,Marriage,conquest,0,0,1
x8168x,Marriage,superseded,0,0,1
x8168x,Marriage,witnessed,0,0,1
x8168x,Marriage,fortune,1,0,0
x8168x,Marriage,couple,1,1,1
x8168x,Marriage,partnership,0,1,0
x8168x,Marriage,formed,1,1,1
x8168x,Marriage,provision,0,0,1
x8168x,Marriage,married,1,1,1
x8168x,Marriage,personal,0,0,1
x8168x,Marriage,formally,1,1,1
x8168x,Marriage,registry,1,1,1
x8168x,Marriage,covenant,1,1,1
x8168x,Marriage,individual,0,1,0
x8168x,Marriage,binding,1,0,0
x8168x,Marriage,emotional,1,1,1
x8168x,Marriage,courting,0,1,0
x8168x,Marriage,office,1,0,0
x8168x,Marriage,comfort,0,0,1
x8168x,Marriage,differences,0,1,0
x8168x,Marriage,unconscious,1,0,0
x8168x,Hepatitis,death,1,1,1
x8168x,Hepatitis,handled,0,0,1
x8168x,Hepatitis,carriers,1,1,1
x8168x,Hepatitis,wastes,0,0,1
x8168x,Hepatitis,incidents,0,1,0
x8168x,Hepatitis,prevalence,1,1,1
x8168x,Hepatitis,hiv,1,1,1
x8168x,Hepatitis,die,1,0,0
x8168x,Hepatitis,affecting,1,1,1
x8168x,Hepatitis,cleanliness,0,0,1
x8168x,Hepatitis,injuries,0,0,1
x8168x,Hepatitis,hazards,0,0,1
x8168x,Hepatitis,exposed,0,1,0
x8168x,Hepatitis,safer,0,1,0
x8168x,Hepatitis,exposure,0,1,0
x8168x,Hepatitis,wear,0,0,1
x8168x,Hepatitis,prevent,1,1,1
x8168x,Hepatitis,chronic,1,1,1
x8168x,Hepatitis,causes,1,1,1
x8168x,Hepatitis,care,0,0,1
x8168x,Hepatitis,cell,1,0,0
x8168x,Hepatitis,worldwide,1,1,1
x8168x,Hepatitis,statement,0,0,1
x8168x,Hepatitis,aids,1,1,1
x8168x,Money,banks,1,1,1
x8168x,Money,foreign,0,0,1
x8168x,Money,sterling,0,0,1
x8168x,Money,amounts,1,1,1
x8168x,Money,savings,0,1,0
x8168x,Money,london,1,0,0
x8168x,Money,raise,0,0,1
x8168x,Money,broadly,0,0,1
x8168x,Money,operational,1,0,0
x8168x,Money,market,1,1,1
x8168x,Money,uncertainty,1,1,1
x8168x,Money,banker,1,1,1
x8168x,Money,funds,1,1,1
x8168x,Money,obtaining,0,0,1
x8168x,Money,settled,0,0,1
x8168x,Money,note,0,0,1
x8168x,Money,debt,0,1,0
x8168x,Money,services,0,1,0
x8168x,Money,lead,0,0,1
x8168x,Money,target,1,1,1
x8168x,Money,restore,1,0,0
x8168x,Money,component,0,0,1
x8168x,Money,association,1,0,0
x8168x,Money,selling,1,0,0
x8168x,Rugby,parity,0,0,1
x8168x,Rugby,indebted,1,0,0
x8168x,Rugby,metres,1,1,1
x8168x,Rugby,yards,0,1,0
x8168x,Rugby,scoring,0,1,0
x8168x,Rugby,landing,1,0,0
x8168x,Rugby,kicked,1,1,1
x8168x,Rugby,handled,1,1,1
x8168x,Rugby,drove,0,0,1
x8168x,Rugby,win,1,1,1
x8168x,Rugby,detached,0,0,1
x8168x,Rugby,ensuing,0,0,1
x8168x,Rugby,offside,0,1,0
x8168x,Rugby,changed,1,1,1
x8168x,Rugby,wide,0,1,0
x8168x,Rugby,penalties,1,1,1
x8168x,Rugby,punt,0,0,1
x8168x,Rugby,penalty,1,1,1
x8168x,Rugby,abundance,1,1,1
x8168x,Rugby,club,0,0,1
x8168x,Rugby,disarray,1,0,0
x8168x,Rugby,cover,0,0,1
x8168x,Rugby,defeat,0,0,1
x8168x,Rugby,score,1,1,1
x9798x,Crime,morning,0,0,1
x9798x,Crime,british,0,0,1
x9798x,Crime,attack,1,1,1
x9798x,Crime,events,1,1,1
x9798x,Crime,teenage,1,0,0
x9798x,Crime,policeman,0,0,1
x9798x,Crime,blow,0,0,1
x9798x,Crime,itinerant,1,1,1
x9798x,Crime,court,1,1,1
x9798x,Crime,belfast,1,1,1
x9798x,Crime,wrong,0,0,1
x9798x,Crime,appear,1,1,1
x9798x,Crime,continue,0,0,1
x9798x,Crime,ordered,1,1,1
x9798x,Crime,believed,0,0,1
x9798x,Crime,road,1,1,1
x9798x,Crime,replied,0,0,1
x9798x,Crime,died,1,1,1
x9798x,Crime,doctor,0,0,1
x9798x,Crime,driver,1,1,1
x9798x,Crime,evidence,0,0,1
x9798x,Crime,trial,1,1,1
x9798x,Crime,witnessed,0,1,0
x9798x,Crime,defence,0,0,1
x9798x,Marriage,provision,0,0,1
x9798x,Marriage,conquest,0,0,1
x9798x,Marriage,differences,0,1,0
x9798x,Marriage,proper,1,1,1
x9798x,Marriage,couple,1,1,1
x9798x,Marriage,personal,0,1,0
x9798x,Marriage,registry,1,1,1
x9798x,Marriage,covenant,1,1,1
x9798x,Marriage,married,1,1,1
x9798x,Marriage,courting,0,0,1
x9798x,Marriage,office,1,1,1
x9798x,Marriage,binding,1,1,1
x9798x,Marriage,fortune,1,0,0
x9798x,Marriage,formed,1,1,1
x9798x,Marriage,superseded,0,0,1
x9798x,Marriage,emotional,1,1,1
x9798x,Marriage,court,0,0,1
x9798x,Marriage,individual,0,1,0
x9798x,Marriage,witnessed,0,0,1
x9798x,Marriage,formally,1,1,1
x9798x,Marriage,unconscious,1,0,0
x9798x,Marriage,comfort,0,1,0
x9798x,Marriage,partnership,0,0,1
x9798x,Marriage,hearts,0,0,1
x9798x,Hepatitis,wear,0,0,1
x9798x,Hepatitis,incidents,0,1,0
x9798x,Hepatitis,die,1,1,1
x9798x,Hepatitis,chronic,1,1,1
x9798x,Hepatitis,death,1,0,0
x9798x,Hepatitis,statement,0,0,1
x9798x,Hepatitis,prevent,1,1,1
x9798x,Hepatitis,care,0,1,0
x9798x,Hepatitis,aids,1,1,1
x9798x,Hepatitis,exposure,0,0,1
x9798x,Hepatitis,injuries,0,0,1
x9798x,Hepatitis,hazards,0,0,1
x9798x,Hepatitis,causes,1,1,1
x9798x,Hepatitis,cleanliness,0,1,0
x9798x,Hepatitis,handled,0,0,1
x9798x,Hepatitis,cell,1,0,0
x9798x,Hepatitis,prevalence,1,1,1
x9798x,Hepatitis,safer,0,0,1
x9798x,Hepatitis,carriers,1,1,1
x9798x,Hepatitis,hiv,1,1,1
x9798x,Hepatitis,affecting,1,1,1
x9798x,Hepatitis,exposed,0,1,0
x9798x,Hepatitis,worldwide,1,1,1
x9798x,Hepatitis,wastes,0,0,1
x9798x,Money,target,1,0,0
x9798x,Money,lead,0,0,1
x9798x,Money,obtaining,0,1,0
x9798x,Money,sterling,0,0,1
x9798x,Money,raise,0,0,1
x9798x,Money,restore,1,1,1
x9798x,Money,settled,0,0,1
x9798x,Money,broadly,0,0,1
x9798x,Money,funds,1,1,1
x9798x,Money,component,0,0,1
x9798x,Money,london,1,1,1
x9798x,Money,operational,1,1,1
x9798x,Money,uncertainty,1,1,1
x9798x,Money,banker,1,1,1
x9798x,Money,association,1,1,1
x9798x,Money,services,0,0,1
x9798x,Money,note,0,0,1
x9798x,Money,amounts,1,1,1
x9798x,Money,banks,1,1,1
x9798x,Money,selling,1,1,1
x9798x,Money,savings,0,0,1
x9798x,Money,foreign,0,0,1
x9798x,Money,debt,0,1,0
x9798x,Money,market,1,1,1
x9798x,Rugby,punt,0,0,1
x9798x,Rugby,changed,1,0,0
x9798x,Rugby,defeat,0,0,1
x9798x,Rugby,scoring,0,1,0
x9798x,Rugby,ensuing,0,1,0
x9798x,Rugby,landing,1,1,1
x9798x,Rugby,score,1,1,1
x9798x,Rugby,kicked,1,1,1
x9798x,Rugby,yards,0,0,1
x9798x,Rugby,handled,1,1,1
x9798x,Rugby,wide,0,0,1
x9798x,Rugby,cover,0,0,1
x9798x,Rugby,drove,0,1,0
x9798x,Rugby,abundance,1,1,1
x9798x,Rugby,indebted,1,1,1
x9798x,Rugby,metres,1,1,1
x9798x,Rugby,parity,0,0,1
x9798x,Rugby,win,1,1,1
x9798x,Rugby,penalties,1,1,1
x9798x,Rugby,offside,0,0,1
x9798x,Rugby,detached,0,1,0
x9798x,Rugby,disarray,1,1,1
x9798x,Rugby,penalty,1,1,1
x9798x,Rugby,club,0,0,1
x3706x,Marriage,unconscious,1,0,0
x3706x,Marriage,office,1,0,0
x3706x,Marriage,provision,0,1,0
x3706x,Marriage,binding,1,1,1
x3706x,Marriage,differences,0,0,1
x3706x,Marriage,registry,1,1,1
x3706x,Marriage,hearts,0,0,1
x3706x,Marriage,witnessed,0,0,1
x3706x,Marriage,couple,1,0,0
x3706x,Marriage,court,0,1,0
x3706x,Marriage,courting,0,1,0
x3706x,Marriage,personal,0,1,0
x3706x,Marriage,individual,0,1,0
x3706x,Marriage,partnership,0,1,0
x3706x,Marriage,covenant,1,1,1
x3706x,Marriage,proper,1,1,1
x3706x,Marriage,comfort,0,0,1
x3706x,Marriage,formally,1,1,1
x3706x,Marriage,emotional,1,0,0
x3706x,Marriage,formed,1,1,1
x3706x,Marriage,conquest,0,0,1
x3706x,Marriage,fortune,1,1,1
x3706x,Marriage,married,1,1,1
x3706x,Marriage,superseded,0,0,1
x6594x,Money,settled,0,1,0
x6594x,Money,uncertainty,1,0,0
x6594x,Money,market,1,1,1
x6594x,Money,savings,0,0,1
x6594x,Money,broadly,0,0,1
x6594x,Money,lead,0,1,0
x6594x,Money,selling,1,1,1
x6594x,Money,operational,1,1,1
x6594x,Money,obtaining,0,0,1
x6594x,Money,amounts,1,1,1
x6594x,Money,services,0,1,0
x6594x,Money,note,0,1,0
x6594x,Money,funds,1,1,1
x6594x,Money,foreign,0,1,0
x6594x,Money,target,1,0,0
x6594x,Money,restore,1,1,1
x6594x,Money,sterling,0,1,0
x6594x,Money,association,1,1,1
x6594x,Money,london,1,1,1
x6594x,Money,component,0,0,1
x6594x,Money,debt,0,1,0
x6594x,Money,banker,1,0,0
x6594x,Money,banks,1,1,1
x6594x,Money,raise,0,1,0
x6594x,Crime,belfast,1,1,1
x6594x,Crime,wrong,0,0,1
x6594x,Crime,believed,0,0,1
x6594x,Crime,itinerant,1,1,1
x6594x,Crime,policeman,0,0,1
x6594x,Crime,ordered,1,1,1
x6594x,Crime,british,0,1,0
x6594x,Crime,died,1,1,1
x6594x,Crime,witnessed,0,1,0
x6594x,Crime,court,1,1,1
x6594x,Crime,teenage,1,1,1
x6594x,Crime,morning,0,0,1
x6594x,Crime,trial,1,1,1
x6594x,Crime,events,1,1,1
x6594x,Crime,road,1,1,1
x6594x,Crime,replied,0,0,1
x6594x,Crime,attack,1,1,1
x6594x,Crime,driver,1,1,1
x6594x,Crime,defence,0,1,0
x6594x,Crime,doctor,0,0,1
x6594x,Crime,continue,0,0,1
x6594x,Crime,blow,0,1,0
x6594x,Crime,appear,1,1,1
x6594x,Crime,evidence,0,1,0
x1666x,Marriage,personal,0,0,1
x1666x,Marriage,superseded,0,0,1
x1666x,Marriage,formally,1,1,1
x1666x,Marriage,comfort,0,1,0
x1666x,Marriage,witnessed,0,1,0
x1666x,Marriage,formed,1,1,1
x1666x,Marriage,covenant,1,1,1
x1666x,Marriage,hearts,0,0,1
x1666x,Marriage,provision,0,0,1
x1666x,Marriage,individual,0,1,0
x1666x,Marriage,differences,0,0,1
x1666x,Marriage,emotional,1,0,0
x1666x,Marriage,married,1,1,1
x1666x,Marriage,fortune,1,1,1
x1666x,Marriage,couple,1,1,1
x1666x,Marriage,courting,0,0,1
x1666x,Marriage,registry,1,0,0
x1666x,Marriage,office,1,0,0
x1666x,Marriage,unconscious,1,0,0
x1666x,Marriage,court,0,0,1
x1666x,Marriage,partnership,0,1,0
x1666x,Marriage,conquest,0,0,1
x1666x,Marriage,proper,1,0,0
x1666x,Marriage,binding,1,1,1
x1666x,Money,funds,1,1,1
x1666x,Money,note,0,0,1
x1666x,Money,obtaining,0,1,0
x1666x,Money,broadly,0,0,1
x1666x,Money,component,0,0,1
x1666x,Money,lead,0,1,0
x1666x,Money,banks,1,1,1
x1666x,Money,association,1,0,0
x1666x,Money,debt,0,0,1
x1666x,Money,restore,1,0,0
x1666x,Money,amounts,1,1,1
x1666x,Money,operational,1,1,1
x1666x,Money,market,1,1,1
x1666x,Money,savings,0,0,1
x1666x,Money,raise,0,1,0
x1666x,Money,uncertainty,1,1,1
x1666x,Money,sterling,0,0,1
x1666x,Money,london,1,1,1
x1666x,Money,services,0,1,0
x1666x,Money,target,1,1,1
x1666x,Money,banker,1,0,0
x1666x,Money,settled,0,1,0
x1666x,Money,selling,1,0,0
x1666x,Money,foreign,0,0,1
x891x,Crime,died,1,1,1
x891x,Crime,teenage,1,1,1
x891x,Crime,events,1,1,1
x891x,Crime,policeman,0,0,1
x891x,Crime,appear,1,1,1
x891x,Crime,attack,1,1,1
x891x,Crime,doctor,0,0,1
x891x,Crime,driver,1,0,0
x891x,Crime,british,0,0,1
x891x,Crime,road,1,1,1
x891x,Crime,replied,0,1,0
x891x,Crime,defence,0,1,0
x891x,Crime,morning,0,0,1
x891x,Crime,continue,0,1,0
x891x,Crime,court,1,1,1
x891x,Crime,blow,0,1,0
x891x,Crime,belfast,1,1,1
x891x,Crime,witnessed,0,1,0
x891x,Crime,wrong,0,0,1
x891x,Crime,evidence,0,1,0
x891x,Crime,trial,1,1,1
x891x,Crime,itinerant,1,1,1
x891x,Crime,believed,0,1,0
x891x,Crime,ordered,1,1,1
x891x,Rugby,disarray,1,1,1
x891x,Rugby,drove,0,1,0
x891x,Rugby,punt,0,0,1
x891x,Rugby,indebted,1,1,1
x891x,Rugby,indebted,1,1,1
x891x,Rugby,score,1,1,1
x891x,Rugby,ensuing,0,1,0
x891x,Rugby,yards,0,1,0
x891x,Rugby,win,1,1,1
x891x,Rugby,wide,0,1,0
x891x,Rugby,abundance,1,0,0
x891x,Rugby,scoring,0,1,0
x891x,Rugby,club,0,1,0
x891x,Rugby,detached,0,0,1
x891x,Rugby,parity,0,0,1
x891x,Rugby,handled,1,1,1
x891x,Rugby,kicked,1,1,1
x891x,Rugby,cover,0,0,1
x891x,Rugby,penalty,1,1,1
x891x,Rugby,defeat,0,0,1
x891x,Rugby,penalties,1,0,0
x891x,Rugby,metres,1,0,0
x891x,Rugby,changed,1,1,1
x891x,Rugby,offside,0,1,0
x891x,Rugby,landing,1,0,0
x2594x,Marriage,proper,1,0,0
x2594x,Marriage,formally,1,1,1
x2594x,Marriage,partnership,0,1,0
x2594x,Marriage,registry,1,0,0
x2594x,Marriage,fortune,1,0,0
x2594x,Marriage,conquest,0,0,1
x2594x,Marriage,personal,0,1,0
x2594x,Marriage,court,0,0,1
x2594x,Marriage,couple,1,1,1
x2594x,Marriage,courting,0,1,0
x2594x,Marriage,unconscious,1,0,0
x2594x,Marriage,provision,0,0,1
x2594x,Marriage,binding,1,1,1
x2594x,Marriage,emotional,1,1,1
x2594x,Marriage,comfort,0,0,1
x2594x,Marriage,office,1,1,1
x2594x,Marriage,differences,0,1,0
x2594x,Marriage,individual,0,0,1
x2594x,Marriage,married,1,1,1
x2594x,Marriage,formed,1,1,1
x2594x,Marriage,hearts,0,0,1
x2594x,Marriage,superseded,0,0,1
x2594x,Marriage,covenant,1,1,1
x2594x,Marriage,witnessed,0,0,1
x699x,Marriage,hearts,0,0,1
x699x,Marriage,court,0,0,1
x699x,Marriage,couple,1,1,1
x699x,Marriage,individual,0,0,1
x699x,Marriage,fortune,1,1,1
x699x,Marriage,formed,1,0,0
x699x,Marriage,binding,1,1,1
x699x,Marriage,registry,1,0,0
x699x,Marriage,differences,0,0,1
x699x,Marriage,witnessed,0,0,1
x699x,Marriage,partnership,0,0,1
x699x,Marriage,courting,0,0,1
x699x,Marriage,provision,0,0,1
x699x,Marriage,comfort,0,0,1
x699x,Marriage,personal,0,1,0
x699x,Marriage,conquest,0,0,1
x699x,Marriage,proper,1,1,1
x699x,Marriage,unconscious,1,1,1
x699x,Marriage,formally,1,1,1
x699x,Marriage,married,1,1,1
x699x,Marriage,superseded,0,0,1
x699x,Marriage,office,1,0,0
x699x,Marriage,covenant,1,0,0
x699x,Marriage,emotional,1,1,1
x699x,Rugby,landing,1,0,0
x699x,Rugby,parity,0,0,1
x699x,Rugby,score,1,1,1
x699x,Rugby,wide,0,1,0
x699x,Rugby,metres,1,1,1
x699x,Rugby,cover,0,0,1
x699x,Rugby,handled,1,0,0
x699x,Rugby,offside,0,1,0
x699x,Rugby,disarray,1,1,1
x699x,Rugby,ensuing,0,1,0
x699x,Rugby,scoring,0,1,0
x699x,Rugby,club,0,1,0
x699x,Rugby,yards,0,1,0
x699x,Rugby,drove,0,1,0
x699x,Rugby,win,1,1,1
x699x,Rugby,changed,1,1,1
x699x,Rugby,punt,0,0,1
x699x,Rugby,penalty,1,1,1
x699x,Rugby,penalties,1,1,1
x699x,Rugby,defeat,0,1,0
x699x,Rugby,indebted,1,0,0
x699x,Rugby,abundance,1,1,1
x699x,Rugby,kicked,1,1,1
x699x,Rugby,detached,0,0,1
x5147x,Hepatitis,cleanliness,0,0,1
x5147x,Hepatitis,causes,1,0,0
x5147x,Hepatitis,die,1,0,0
x5147x,Hepatitis,wear,0,0,1
x5147x,Hepatitis,statement,0,0,1
x5147x,Hepatitis,hazards,0,0,1
x5147x,Hepatitis,safer,0,0,1
x5147x,Hepatitis,hiv,1,1,1
x5147x,Hepatitis,prevent,1,1,1
x5147x,Hepatitis,prevalence,1,0,0
x5147x,Hepatitis,carriers,1,1,1
x5147x,Hepatitis,aids,1,1,1
x5147x,Hepatitis,injuries,0,0,1
x5147x,Hepatitis,exposure,0,0,1
x5147x,Hepatitis,care,0,0,1
x5147x,Hepatitis,exposed,0,1,0
